"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4757","test_process_addsel","Tests.test_item","Wed Jul 16 20:27:20 CST 2025","passed","Wed Jul 16 20:27:25 CST 2025","TestProcessPage","test_process","",""
"","9578","test_setting_displaynum1","Tests.test_item","Thu Jul 17 14:45:30 CST 2025","passed","Thu Jul 17 14:45:39 CST 2025","TestSettingPage","test_setting","",""
"","7956","test_master_editresource","Tests.test_item","Wed Jul 16 21:19:05 CST 2025","passed","Wed Jul 16 21:19:13 CST 2025","TestMasterPage","test_master","",""
"","5630","test_shift_addsuccess1","Tests.test_item","Wed Jul 16 20:37:00 CST 2025","passed","Wed Jul 16 20:37:06 CST 2025","TestShiftPage","test_shift","",""
"","8945","test_shift_addall","Tests.test_item","Wed Jul 16 20:39:37 CST 2025","passed","Wed Jul 16 20:39:46 CST 2025","TestShiftPage","test_shift","",""
"","6515","test_resourcegroup_addnum","Tests.test_item","Wed Jul 16 20:20:56 CST 2025","passed","Wed Jul 16 20:21:02 CST 2025","TestResourceGroupPage","test_resourcegroup","",""
"","4905","test_resourcegroup_addsel","Tests.test_item","Wed Jul 16 20:21:12 CST 2025","passed","Wed Jul 16 20:21:17 CST 2025","TestResourceGroupPage","test_resourcegroup","",""
"","14041","test_coverage_addweeksuccess3","Tests.test_item","Wed Jul 16 20:43:32 CST 2025","passed","Wed Jul 16 20:43:46 CST 2025","TestCoveragePage","test_coverage","",""
"","7486","test_setting_statistics_updaterepeat","Tests.test_item","Thu Jul 17 14:57:29 CST 2025","passed","Thu Jul 17 14:57:36 CST 2025","TestSettingPage","test_setting","",""
"","7593","test_master_delsuccessserial3","Tests.test_item","Wed Jul 16 21:17:27 CST 2025","passed","Wed Jul 16 21:17:34 CST 2025","TestMasterPage","test_master","",""
"","8083","test_sched_restrictnum","Tests.test_item","Wed Jul 16 21:30:25 CST 2025","passed","Wed Jul 16 21:30:33 CST 2025","TestSchedPage","test_sched","",""
"","7093","test_sched_addrepeatsuccess","Tests.test_item","Wed Jul 16 21:21:14 CST 2025","passed","Wed Jul 16 21:21:21 CST 2025","TestSchedPage","test_sched","",""
"","8186","test_changeR_delsuccess2","Tests.test_item","Wed Jul 16 20:59:32 CST 2025","passed","Wed Jul 16 20:59:40 CST 2025","TestChangeRPage","test_changeR","",""
"","5200","test_itemgroup_addsel","Tests.test_item","Wed Jul 16 20:05:50 CST 2025","passed","Wed Jul 16 20:05:55 CST 2025","TestItemGroupPage","test_itemgroup","",""
"","8143","test_order_dellayout","Tests.test_item","Wed Jul 16 21:13:00 CST 2025","passed","Wed Jul 16 21:13:09 CST 2025","TestOrderPage","test_order","",""
"","10309","test_personal_openengine2","Tests.test_item","Wed Jul 16 22:26:07 CST 2025","broken","Wed Jul 16 22:26:17 CST 2025","TestPersonalPage","test_personal","",""
"","10283","test_personal_language1","Tests.test_item","Wed Jul 16 22:27:25 CST 2025","broken","Wed Jul 16 22:27:35 CST 2025","TestPersonalPage","test_personal","",""
"","10305","test_sched_moststarttime","Tests.test_item","Wed Jul 16 21:32:41 CST 2025","passed","Wed Jul 16 21:32:51 CST 2025","TestSchedPage","test_sched","",""
"","6950","test_master_addcodefail","Tests.test_item","Wed Jul 16 21:13:34 CST 2025","passed","Wed Jul 16 21:13:41 CST 2025","TestMasterPage","test_master","",""
"","9204","test_setting_select_selsuccess","Tests.test_item","Thu Jul 17 14:49:42 CST 2025","passed","Thu Jul 17 14:49:51 CST 2025","TestSettingPage","test_setting","",""
"","6218","test_item_addsuccess1","Tests.test_item","Wed Jul 16 19:59:35 CST 2025","passed","Wed Jul 16 19:59:41 CST 2025","TestItemPage","test_item","",""
"","8366","test_production_selectitem","Tests.test_item","Wed Jul 16 21:45:01 CST 2025","passed","Wed Jul 16 21:45:10 CST 2025","TestProductionPage","test_production","",""
"","5062","test_operationPlan_selectfail3","Tests.test_item","Wed Jul 16 21:38:08 CST 2025","passed","Wed Jul 16 21:38:13 CST 2025","TestOperationPlanPage","test_operationPlan","",""
"","14094","test_changeI_addtimefails","Tests.test_item","Wed Jul 16 20:51:58 CST 2025","passed","Wed Jul 16 20:52:12 CST 2025","TestChangeIPage","test_changeI","",""
"","7003","test_resourcegroup_addnamefail","Tests.test_item","Wed Jul 16 20:20:39 CST 2025","passed","Wed Jul 16 20:20:46 CST 2025","TestResourceGroupPage","test_resourcegroup","",""
"","4728","test_resource_addsel","Tests.test_item","Wed Jul 16 20:13:21 CST 2025","passed","Wed Jul 16 20:13:25 CST 2025","TestResourcePage","test_resource","",""
"","7466","test_setting_statistics_fail","Tests.test_item","Thu Jul 17 14:54:23 CST 2025","passed","Thu Jul 17 14:54:31 CST 2025","TestSettingPage","test_setting","",""
"","5892","test_process_addrepeat","Tests.test_item","Wed Jul 16 20:27:50 CST 2025","passed","Wed Jul 16 20:27:56 CST 2025","TestProcessPage","test_process","",""
"","11068","test_spec_delall","Tests.test_item","Wed Jul 16 19:47:35 CST 2025","passed","Wed Jul 16 19:47:46 CST 2025","TestSpecPage","test_spec1","",""
"","7783","test_setting_notdisplay","Tests.test_item","Thu Jul 17 14:44:18 CST 2025","passed","Thu Jul 17 14:44:26 CST 2025","TestSettingPage","test_setting","",""
"","11395","test_setting_statistics_success8","Tests.test_item","Thu Jul 17 14:55:42 CST 2025","passed","Thu Jul 17 14:55:54 CST 2025","TestSettingPage","test_setting","",""
"","5380","test_changeI_addfail","Tests.test_item","Wed Jul 16 20:51:04 CST 2025","passed","Wed Jul 16 20:51:09 CST 2025","TestChangeIPage","test_changeI","",""
"","5744","test_changeI_addnum","Tests.test_item","Wed Jul 16 20:52:46 CST 2025","passed","Wed Jul 16 20:52:51 CST 2025","TestChangeIPage","test_changeI","",""
"","4146","test_item_refreshsuccess","Tests.test_item","Wed Jul 16 20:01:07 CST 2025","passed","Wed Jul 16 20:01:11 CST 2025","TestItemPage","test_item","",""
