"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","生产日历表测试用例","1","0","重新打开浏览器，数据还存在","0"
"1","","0","物控需求定义测试用例","0","0","取消删除数据","0"
"1","","0","事务管理页用例","0","0","我的流程-频率为每天，添加搜索事务,添加两个事务点击保存，保存成功","0"
"0","","0","班次表测试用例","1","0","修改时间成功","0"
"0","","0","标准应用设置测试用例","1","0","添加雷达统计图 添加成功","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为每天，执行顺序为间隔执行，保存成功","0"
"0","","0","方案管理表测试用例","1","0","属性设置-时间属性-用户指定最早开始时刻","0"
"0","","0","标准应用设置测试用例","1","0","添加柱状统计图 输入图表名 输入Y轴 分组 点击确认 添加成功","0"
"0","","0","客户表测试用例","1","0","添加客户信息 不填写数据点击确认 不允许提交，添加测试布局","0"
"1","","0","个人设置测试用例","0","0","打开引擎为系统设置-服务器","0"
"0","","0","班次表测试用例","1","0","添加数据成功","0"
"1","","0","物控需求定义测试用例","0","0","没有数据时显示正常","0"
"0","","0","生产特征切换表测试用例","1","0","添加生产特征切换信息 不填写数据点击确认 不允许提交，添加新布局，","0"
"0","","0","生产特征切换表测试用例","1","0","添加生产特征切换信息 填写前生产特征和后生产特征不填写资源 不允许提交","0"
"0","","0","物品切换表测试用例","1","0","修改物品切换优先度成功","0"
"0","","0","客户表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","物料组表测试用例","1","0","删除测试数据成功，删除布局成功","0"
"0","","0","资源表测试用例","1","0","查询资源名称包含开料或数值特征1MAX>70","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为每天，执行顺序为每天执行一次，保存成功","0"
"1","","0","客户表测试用例","0","0","修改客户名称，显示颜色，表示顺序","0"
"0","","0","事务管理页用例","1","0","我的流程-添加流程只填写名称，不允许点击下一步","0"
"0","","0","事务管理页用例","1","0","事务模版-查询事务名称成功","0"
"1","","0","物控方案管理表测试用例","0","0","属性设置-齐套计算规则保存全部成功","0"
"0","","0","个人设置测试用例","1","0","组件菜单文字-不显示(默认)","0"
"0","","0","仓库库位测试用例","1","0","添加仓库库位信息 不填写数据点击确认 不允许提交","0"
"0","","0","生产日历表测试用例","1","0","输入全部数据，添加保存成功","0"
"0","","0","导航栏测试用例","1","0","切换排产单元成功","0"
"0","","0","资源组表测试用例","1","0","刷新成功","0"
"0","","0","事务管理页用例","1","0","流程日志-流程ID搜索成功搜索成功","0"
"0","","0","物料库存测试用例","1","0","添加数据重复","0"
"0","","0","登录页面测试用例","1","0","密码错误 登录失败","0"
"0","","0","物料库存测试用例","1","0","添加数据成功","0"
"0","","0","资源组表测试用例","1","0","查询资源组名字成功","0"
"0","","1","物料交付答复测试用例","0","0","添加测试数据","0"
"1","","0","个人设置测试用例","0","0","打开引擎为系统设置-web服务器","0"
"0","","0","客户表测试用例","1","0","添加测试数据","0"
"0","","0","生产日历表测试用例","1","0","删除全部input数据成功","0"
"0","","1","标准应用设置测试用例","0","0","布局列表拖拽互换位置成功","0"
"0","","0","物品切换表测试用例","1","0","删除全部数据功","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-制造订单交货期查询-日期范围","0"
